Date,Close,High,Low,Open,Volume,sector_EXP_ret,sector_EXX_ret,MA5,EMA5,Close/MA5,MA10,EMA10,Close/MA10,MA20,EMA20,Close/MA20,MA50,EMA50,Close/MA50,MA100,EMA100,Close/MA100,MA200,EMA200,Close/MA200,RSI,MACD,MACD_signal,Momentum,Volatility_5,Range_5,Volatility_10,Range_10,Volatility_20,Range_20,Return_1d,Return_1d_future,Return_5d,Return_5d_future,Return_10d,Return_10d_future,DayOfWeek,Day,Month,Year,IsMonthStart,IsMonthEnd,Target
2015-01-02,4252.2900390625,4311.0,4224.33984375,4294.0498046875,69809300,,,,4252.2900390625,,,4252.2900390625,,,4252.2900390625,,,4252.2900390625,,,4252.2900390625,,,4252.2900390625,,,0.0,0.0,,,,,,,,,0.03427823894471116,,0.0175206966917425,,-0.029073315657059506,4,2,1,2015,0,0,0
2015-01-05,4111.35986328125,4276.919921875,4105.4501953125,4221.990234375,137887700,-0.05320550716545036,-0.033003626030501665,,4205.313313802084,,,4226.666370738636,,,4238.868117559524,,,4246.763365502451,,,4249.499342512377,,,4250.8877487562195,,,-11.242293224714558,-2.248458644942912,,,,,,,,-0.03314218326751783,0.00682254518948211,,-0.027642793364371587,,-0.06452214282325708,0,5,1,2015,0,0,0
2015-01-06,4083.5,4151.41015625,4076.159912109375,4129.89013671875,130814400,-0.017132391352319143,-0.9984754597818077,,4164.708875868057,,,4200.636121513429,,,4224.071153982426,,,4240.360880580786,,,4246.212226819062,,,4249.222199017352,,,-22.1446796514183,-6.22770284623799,,,,,,,,-0.006776313484515906,-0.0071071965841575935,,-0.04819727279131736,,-0.08153809878019191,1,6,1,2015,0,0,1
2015-01-07,4112.72998046875,4144.9501953125,4080.780029296875,4111.72998046875,121316600,0.015199792293030256,664.8709567141459,,4147.382577401621,,,4184.653186778033,,,4213.46723269541,,,4235.355747243059,,,4243.569014020046,,,4247.864067489506,,,-28.102338043477175,-10.602629885685827,,,,,,,,0.007158070397636829,-0.03461347098735812,,-0.026167172070097666,,-0.08296650887526291,2,7,1,2015,0,0,1
2015-01-08,4260.18994140625,4270.10986328125,4163.6298828125,4176.16015625,154417100,0.03763760599688881,0.017246379179211457,4164.01396484375,4184.9850320698315,1.0230969390051288,,4198.387142164981,,,4217.917014477394,,,4236.329637210243,,,4243.89814129502,,,4247.986713001116,,,-20.68657678818454,-12.61941926618557,,85.04040767014054,100.8060546875,,,,,0.03585452038859427,0.01941104614174871,,-0.014574910034138577,,-0.06427031185952492,3,8,1,2015,0,0,0
2015-01-09,4179.06982421875,4272.830078125,4149.14013671875,4249.259765625,139011800,-0.007148691744462532,0.012858353191632643,4149.369921875,4183.013296119471,1.0071576896981818,,4194.874902538393,,,4214.217282071809,,,4234.084154347832,,,4242.614412244005,,,4247.300972814227,,,-21.111883423204745,-14.317912097589407,,71.22018217560826,108.21201171875,,,,,-0.019041432026085436,-0.011629048358345773,-0.01721900768083373,-0.045791709692286964,,-0.09947230326006595,4,9,1,2015,0,0,1
2015-01-12,4228.240234375,4252.27001953125,4165.14990234375,4196.77978515625,129743900,-0.030133171269935866,-0.005266104738375077,4172.74599609375,4198.0889422046475,1.013299213116063,,4200.941326508685,,,4215.552801338779,,,4233.854981015564,,,4242.32977505848,,,4247.11131372528,,,-17.28208372680092,-14.91074642343171,,74.72083847002138,91.34208984375,,,,,0.011765874279318078,-0.014460490664477854,0.02842864039648152,-0.03792777922270829,,-0.09558871296398219,0,12,1,2015,0,0,1
2015-01-13,4290.27978515625,4310.580078125,4197.81005859375,4204.77001953125,127789000,-0.018147085858524425,0.021081521862997388,4214.101953125,4228.819223188515,1.0180768839668817,,4217.184682626424,,,4222.669656940443,,,4236.067718432845,,,4243.279280208931,,,4247.540850754443,,,-9.135557592063378,-13.755708657158046,,70.0545905873085,98.846044921875,,,,,0.014672664593860407,0.015873961001693138,0.050637880532937496,-0.035029134752168734,,-0.07221345453646955,1,13,1,2015,0,0,0
2015-01-14,4223.240234375,4302.22021484375,4207.3701171875,4227.4599609375,151689400,-0.0013998745002258284,-0.03268214711119599,4236.20400390625,4226.959560250677,0.9969397674145777,,4218.285692035256,,,4222.723997648496,,,4235.564679842341,,,4242.88246742014,,,4247.299053576539,,,-7.996727120421383,-12.603912349810713,,41.81898716409044,104.98203125,,,,,-0.01562591582329831,-0.02312175157788976,0.026870291614343955,-0.0583255515486214,,-0.08408257577803302,2,14,1,2015,0,0,1
2015-01-15,4323.2001953125,4338.72998046875,4119.35009765625,4262.93994140625,187411300,-0.015703822301322945,-0.018951026926840142,4248.8060546875,4259.039771937952,1.0175094225689412,4206.410009765625,4237.361056267482,1.0277648125778833,,4232.293159330782,,,4239.001366723524,,,4244.472917477414,,,4248.054288817693,,,0.9606637469087218,-9.890997130466825,,57.43314472431051,127.56201171875,81.71494793806484,114.184033203125,,,0.023669020796846407,-0.012882378006618511,0.014790479948753488,-0.050430420669629994,,-0.06655179259325794,3,15,1,2015,0,0,1
2015-01-16,4379.6201171875,4387.22021484375,4294.759765625,4303.5498046875,174122800,0.04415955558836093,0.019512195121951237,4288.91611328125,4299.233220354468,1.02114846770385,4219.143017578125,4263.226340071122,1.0380354728296202,,4246.324298174279,,,4244.515827526033,,,4247.149099649891,,,4249.363401537791,,,12.468349348128868,-5.419127834747687,127.330078125,65.95331219409566,121.31611328125,97.96340801769318,114.7640625,,,0.01305049947401793,-0.0034835726579042214,0.04798921803280498,-0.05625668327663347,0.029943883638067215,-0.04878750780528862,4,16,1,2015,0,0,1
2015-01-19,4394.93017578125,4423.25,4367.240234375,4388.669921875,107393400,,,4322.2541015625,4331.1322054967295,1.0168143918684645,4247.500048828125,4287.172492018418,1.0347098588012495,,4260.477238898752,,,4250.414429418394,,,4250.075457593086,,,4250.811827152154,,,22.56356810473335,0.1774113531485204,283.5703125,69.64134801070335,115.09404296875,104.14422063219246,103.21806640625,,,0.003495750358271099,-0.011491141183702203,0.03942300630202711,-0.059934101095536874,0.06897238916801718,-0.05029307405733263,0,19,1,2015,0,0,1
2015-01-20,4446.02001953125,4463.509765625,4405.93994140625,4406.9599609375,141375600,-0.016234711730438445,0.022200954017456587,4353.4021484375,4369.428143508237,1.0212748255125,4283.75205078125,4316.0538606571145,1.0378798695224218,,4278.147979911371,,,4258.085236873801,,,4253.9555479284945,,,4252.7541972255785,,,34.29133594133509,7.0001962707858345,362.52001953125,84.91806467318361,104.05400390625,103.8087207405094,101.4500244140625,,,0.011624722511300867,-0.00865136308887482,0.036300717476244415,-0.03853413727133714,0.08877678940400391,-0.04956922714321488,1,20,1,2015,0,0,1
2015-01-21,4484.81982421875,4484.81982421875,4406.72021484375,4455.009765625,160196600,0.022604541037036352,0.004025466264784283,4405.71806640625,4407.892037078408,1.0179543394788817,4320.96103515625,4346.738581304684,1.037921839083785,,4297.831012702551,,,4266.976789318701,,,4258.527117756024,,,4255.0633079419285,,63.41885669169042,46.18411469503917,14.836979955636503,372.08984375,62.22542909077293,100.70390625,102.3723434413047,102.84296875,,,0.008726862343636288,-0.014931467093887707,0.06193812696578971,-0.027352366066393796,0.09047271411375046,-0.045031192484275895,2,21,1,2015,0,0,1
2015-01-22,4552.7998046875,4569.5498046875,4462.169921875,4486.759765625,208073500,-0.03688665989151163,-0.0017715845352563875,4451.63798828125,4456.194626281439,1.022724627804991,4350.222021484375,4384.204258283377,1.0465672285696357,,4322.113754796355,,,4278.185535019438,,,4264.3542996754595,,,4258.025860148352,,66.0802019156908,60.39840857427953,23.949265679365112,292.60986328125,70.30053104899376,78.30390625,122.84358000148248,102.932958984375,,,0.015157795214346681,-0.018939023685800693,0.053108715535298945,-0.016977557279158617,0.06868469887628104,-0.03199881067543375,3,22,1,2015,0,0,1
2015-01-23,4640.68994140625,4673.2998046875,4585.64013671875,4588.490234375,222514400,0.0066179158759400725,-0.020922827525225562,4503.851953125,4517.693064656376,1.030382434792579,4396.384033203125,4430.838018851172,1.0555697378477484,,4352.454343997298,,,4292.401394093431,,,4271.806490600822,,,4261.833462946938,,80.02885248226636,77.85784165296627,34.73098087408535,461.6201171875,95.77478173175533,77.34375,137.26864615048984,99.329931640625,,,0.019304634618078298,-0.007366627723619845,0.0596101527605557,0.007914414162187189,0.11046001541115591,-0.01073108593539307,4,23,1,2015,0,0,1
2015-01-26,4675.1298828125,4678.830078125,4616.60986328125,4620.0,127771700,0.014407534676718958,-0.026903259903018895,4559.89189453125,4570.172004041751,1.0252720877921375,4441.072998046875,4475.254721389595,1.0527027781053273,,4383.185347693983,,,4307.410354435356,,,4279.793092426796,,,4265.945865134656,,83.31439852187493,93.39696156579248,46.464177012426774,446.8896484375,98.05742669132276,78.58583984375,148.71299978517018,96.83994140625,,,0.007421297660712423,0.011011593830111632,0.06375521244349258,0.010255692765198443,0.10569164088746663,0.005170799961198513,0,26,1,2015,0,0,0
2015-01-27,4624.2099609375,4679.259765625,4592.6201171875,4671.759765625,145807700,-0.001102823783626472,0.021862778009152928,4595.5298828125,4588.184656340334,1.0062408642433738,4474.466015625,4502.337492216487,1.0334663275549727,,4406.140072764794,,,4319.8338684158325,,,4286.613228436909,,,4269.510682008316,,78.11444377465523,100.44514480586076,57.260370571113576,333.93017578125,76.2900950711283,84.3998046875,148.58204790587436,94.226904296875,,,-0.01089165930174485,0.0028779423934988113,0.040078528801819724,-0.011477360039138462,0.07783412562896252,-0.015214068955735405,1,27,1,2015,0,0,0
2015-01-28,4610.93994140625,4660.8798828125,4582.580078125,4660.4501953125,130618600,-0.03644436042573784,-0.0030701303321307716,4620.75390625,4595.769751362306,0.997876111768152,4513.235986328125,4522.08339206917,1.0216483151721065,,4425.644822159218,,,4331.249792846829,,,4293.035539584816,,,4272.907988071976,,72.61592322998263,103.76397462044861,66.56109138098059,387.69970703125,44.94499544999625,84.43984375,124.35132024022997,92.571875,,,-0.0028696836093834444,-0.004424169985795756,0.02812155719309639,-0.018175982546099423,0.09180148073878769,-0.014625857083677252,2,28,1,2015,0,0,1
